Айсинг	2.3	0.0	78.8	305
Круассан Черёмушки с абрикосовой начинкой	Круассан Черёмушки с абрикосовой начинкой	5.5	19.7	47.0	390
Круассан Черёмушки с карамельной начинкой	Круассан Черёмушки с карамельной начинкой	6.4	21.2	40.3	379
Круассан Черёмушки с клубничной начинкой	Круассан Черёмушки с клубничной начинкой	5.5	19.7	47.0	390
Круассан Черёмушки с шоколадно-ореховой начинкой	Круассан Черёмушки с шоколадно-ореховой начинкой	6.3	28.3	46.2	465
Круассан Черёмушки со сливочной начинкой	Круассан Черёмушки со сливочной начинкой	5.7	28.5	46.2	467
Кукурузные палочки	Кукурузные палочки	8.3	1.2	75.0	325
Кукурузные палочки сладкие	Кукурузные палочки сладкие	4.7	13.0	82.9	467
Лукма	Лукма	2.0	2.1	75.6	380
Маковник Сдобная особа	Маковник Сдобная особа	7.5	18.0	50.0	390
Мармелад жевательный Fruit-tella Микс	Мармелад жевательный Fruit-tella Микс	0.0	0.0	82.0	354
Мармелад жевательный Haribo Berries	Мармелад жевательный Haribo Berries	1.0	0.0	84.0	341
Мармелад жевательный Haribo Золотой мишка	Мармелад жевательный Haribo Золотой мишка	6.9	0.0	77.0	343
Мармелад жевательный Бон Пари Айс Крим	Мармелад жевательный Бон Пари Айс Крим	5.5	0.0	76.5	332
Мармелад жевательный Бон Пари Бегемотики	Мармелад жевательный Бон Пари Бегемотики	4.3	0.0	74.5	321
Мармелад жевательный Бон Пари Весёлые челюсти	Мармелад жевательный Бон Пари Весёлые челюсти	4.7	0.0	75.2	325
Мармелад жевательный Бон Пари Кислые червячки	Мармелад жевательный Бон Пари Кислые червячки	3.6	0.0	77.2	330
Мармелад жевательный Бон Пари Кола	Мармелад жевательный Бон Пари Кола	4.4	0.0	75.0	322
Мармелад жевательный Бон Пари Машинки	Мармелад жевательный Бон Пари Машинки	4.8	0.0	75.9	329
Мармелад жевательный Бон Пари Медвежата	Мармелад жевательный Бон Пари Медвежата	4.8	0.0	75.7	328
Мармелад жевательный Бон Пари Морское царство	Мармелад жевательный Бон Пари Морское царство	4.7	0.0	73.8	320
Мармелад жевательный Фру-фру Цветные акулы	Мармелад жевательный Фру-фру Цветные акулы	3.5	0.0	69.5	294
Мармелад Мармеландия Лимонные дольки	Мармелад Мармеландия Лимонные дольки	0.1	0.0	81.0	326
Мармелад фруктово-ягодный	Мармелад фруктово-ягодный	0.4	0.0	76.6	293
Мармелад фруктово-ягодный в шоколаде	Мармелад фруктово-ягодный в шоколаде	1.5	9.2	64.2	349
Мармеладные дольки	Мармеладные дольки	0.0	0.0	86.6	318
Марципан	Марципан	6.8	21.2	65.3	479
Маршмеллоу	Маршмеллоу	1.8	0.2	81.3	318
Мастика сахарная	Мастика сахарная	0.0	1.0	96.0	393
Меренги (безе)	Меренги (безе)	2.6	20.8	60.5	440
Мини круассаны 7 Days с кокосовым кремом	Мини круассаны 7 Days с кокосовым кремом	7.0	26.3	42.0	433
Мини круассаны 7 Days с кремом ваниль	Мини круассаны 7 Days с кремом ваниль	7.0	26.3	44.0	441
Мини круассаны 7 Days с кремом варёная сгущенка	Мини круассаны 7 Days с кремом варёная сгущенка	8.0	26.3	44.0	445
Мини круассаны 7 Days с кремом какао	Мини круассаны 7 Days с кремом какао	7.0	26.3	44.0	441
Мини круассаны 7 Days с кремом карамель	Мини круассаны 7 Days с кремом карамель	6.0	26.3	44.5	441
Мини круассаны 7 Days с начинкой вишня	Мини круассаны 7 Days с начинкой вишня	6.0	16.0	52.0	380
Мини круассаны 7 Days с начинкой клубника	Мини круассаны 7 Days с начинкой клубника	6.0	16.3	52.0	379
Мини-печенье Медвежонок Барни для завтрака медовое	Мини-печенье Медвежонок Барни для завтрака медовое	8.0	14.5	68.0	430
Мини-печенье Медвежонок Барни для завтрака шоколадное	Мини-печенье Медвежонок Барни для завтрака шоколадное	8.3	15.5	67.0	430
Нуга Пеко Арахисовая	Нуга Пеко Арахисовая	7.1	10.6	72.2	404
Нуга с миндалем и клюквой	Нуга с миндалем и клюквой	6.0	22.0	60.0	465
Нуга с орехами и цукатами	Нуга с орехами и цукатами	6.5	16.0	65.0	430
Паста Nutella	Паста Nutella	6.8	31.0	56.0	530
Паста арахисовая Bombbar	Паста арахисовая Bombbar	28.0	45.0	10.0	557
Паста арахисовая Hy-Top хрустящая	Паста арахисовая Hy-Top хрустящая	21.9	50.0	22.0	625
Паста арахисовая Nutbutter натуральная	Паста арахисовая Nutbutter натуральная	24.0	50.0	22.0	585
Паста арахисовая Nutley с шоколадом	Паста арахисовая Nutley с шоколадом	15.2	41.1	33.0	517
Паста арахисовая Озерский сувенир Nut Story	Паста арахисовая Озерский сувенир Nut Story	19.0	42.0	23.0	550
Паста кокосовая Bombbar	Паста кокосовая Bombbar	0.0	65.0	14.0	657
Паста кокосовая DopDrops	Паста кокосовая DopDrops	6.9	65.0	14.3	672
Паста кокосовая Nutbutter	Паста кокосовая Nutbutter	6.9	65.0	7.3	606
Паста фисташковая Орехпром	Паста фисташковая Орехпром	6.0	43.0	35.0	550
Паста шоколадная Bombbar с фундуком	Паста шоколадная Bombbar с фундуком	20.0	38.0	9.4	490
Паста шоколадная БиС соевая	Паста шоколадная БиС соевая	6.0	25.0	25.0	349
Пастила	Пастила	0.5	0.0	80.8	310
Пастила ВкусВилл Белёвская без сахара	Пастила ВкусВилл Белёвская без сахара	0.3	0.6	75.8	310
Пастила Шарлиз с ароматом ванили	Пастила Шарлиз с ароматом ванили	0.6	0.1	83.5	313
Пастила Шарлиз с кусочками мармелада	Пастила Шарлиз с кусочками мармелада	0.5	0.1	83.8	312
Пастила Шармэль Ванильная	Пастила Шармэль Ванильная	0.5	0.0	79.0	320
Пастила Шармэль Йогурт	Пастила Шармэль Йогурт	0.3	0.0	75.0	302
Пастила Шармэль Клубника со сливками	Пастила Шармэль Клубника со сливками	1.0	0.0	78.0	318
Пастила Шармэль Клюквенная	Пастила Шармэль Клюквенная	0.5	0.0	79.0	320
Пастила яблочная	Пастила яблочная	0.3	0.0	73.5	294
