Аньолотти	10.0	1.1	71.5	344
Мука пшеничная цельнозерновая С.Пудовъ	Мука пшеничная цельнозерновая С.Пудовъ	10.0	1.0	70.0	380
Мука пшеничная цельнозерновая тонкого помола ВкусВилл	Мука пшеничная цельнозерновая тонкого помола ВкусВилл	11.0	1.4	68.7	342
Мука пшеничная цельнозерновая Французская штучка	Мука пшеничная цельнозерновая Французская штучка	11.5	2.2	61.5	312
Мука пшенично-отрубная Дивинка	Мука пшенично-отрубная Дивинка	11.5	2.2	58.7	208
Мука ржаная грубого помола	Мука ржаная грубого помола	9.4	2.3	55.9	280
Мука ржаная обдирная	Мука ржаная обдирная	9.0	1.0	73.0	325
Мука ржаная обойная	Мука ржаная обойная	10.7	1.9	56.8	293
Мука ржаная Рязаночка	Мука ржаная Рязаночка	8.9	1.7	61.8	298
Мука ржаная сеяная	Мука ржаная сеяная	6.9	1.4	67.3	304
Мука ржаная цельнозерновая Твердохлеб	Мука ржаная цельнозерновая Твердохлеб	8.7	1.7	59.3	287
Мука ржаная цельносмолотая Гарнец	Мука ржаная цельносмолотая Гарнец	10.7	1.9	58.8	294
Мука рисовая Вегана	Мука рисовая Вегана	7.0	0.5	78.0	340
Мука рисовая Гарнец	Мука рисовая Гарнец	7.0	0.6	77.3	321
Мука рисовая диетическая	Мука рисовая диетическая	7.4	0.6	82.0	371
Мука рисовая Кудесница	Мука рисовая Кудесница	7.5	0.5	80.0	360
Мука рисовая С.Пудовъ	Мука рисовая С.Пудовъ	7.0	1.0	79.0	350
Мука рисовая цельнозерновая ВкусВилл	Мука рисовая цельнозерновая ВкусВилл	5.5	0.8	81.2	354
Мука соевая необезжиренная	Мука соевая необезжиренная	36.5	18.6	17.9	385
Мука соевая обезжиренная	48.9	1.0	21.7	291
Мука соевая полуобезжиренная	Мука соевая полуобезжиренная	43.0	9.5	19.1	334
Мука тритикале	Мука тритикале	13.2	1.8	73.1	338
Мука тыквенная	Мука тыквенная	33.0	9.0	23.0	305
Мука универсальная Гарнец без глютена	Мука универсальная Гарнец без глютена	5.0	1.0	83.0	360
Мука чечевичная	Мука чечевичная	28.0	1.0	56.0	321
Мука ячменная	Мука ячменная	10.0	1.6	56.1	284
Оладушки с вареной сгущенкой	Оладушки с вареной сгущенкой	6.8	9.1	49.5	299
Оладушки с вишней	Оладушки с вишней	6.3	7.3	51.4	294
Орзо (ризони)	Орзо (ризони)	12.0	1.2	71.0	350
Папарделле	Папарделле	10.0	1.1	71.5	344
Паста (Макаронные изделия)	Паста (Макаронные изделия)	10.0	1.1	71.5	344
Паста Мистраль Птитим	Паста Мистраль Птитим	12.1	0.7	72.7	350
Паста Увелка в соусе Песто	Паста Увелка в соусе Песто	9.0	8.5	52.0	350
Пельмени	Пельмени	11.9	12.4	29.0	275
Пельмени с говядиной	Пельмени с говядиной	12.0	8.0	38.0	292
Пельмени с говядиной и свининой	Пельмени с говядиной и свининой	11.0	14.0	25.0	270
Пельмени с индейкой	Пельмени с индейкой	13.0	4.0	26.0	207
Пельмени с куриным мясом	Пельмени с куриным мясом	11.0	6.0	23.0	210
Пельмени с рыбой	Пельмени с рыбой	15.0	7.0	24.0	210
Пельмени со свининой	Пельмени со свининой	8.0	20.0	28.0	300
Пенне Myllyn Paras	Пенне Myllyn Paras	10.4	1.1	71.5	344
Равиоли	Равиоли	15.5	8.0	29.7	245
Ракушка Myllyn Paras	Ракушка Myllyn Paras	10.4	1.1	71.5	344
Ригатони	Ригатони	8.0	1.2	42.9	220
Рисовая бумага	Рисовая бумага	5.8	0.0	77.0	333
Рисовая бумага Сэн Сой Премиум	Рисовая бумага Сэн Сой Премиум	5.8	0.0	77.4	333
Рожки Myllyn Paras	Рожки Myllyn Paras	10.4	1.1	71.5	344
Сейтан	Сейтан	55.8	3.5	20.3	307
Смесь для выпечки Печём дома Кекс малиновый	Смесь для выпечки Печём дома Кекс малиновый	7.0	1.0	78.0	350
Смесь для низкоуглеводной выпечки Пампушек.нет	Смесь для низкоуглеводной выпечки Пампушек.нет	36.0	11.8	0.8	260
Смесь мучная без глютена Гарнец Белый хлеб	Смесь мучная без глютена Гарнец Белый хлеб	4.5	0.5	81.0	330
Смесь мучная без глютена Гарнец Бородинский хлеб	Смесь мучная без глютена Гарнец Бородинский хлеб	7.0	2.5	76.0	350
Смесь мучная без глютена Гарнец Кокосовый торт	Смесь мучная без глютена Гарнец Кокосовый торт	5.0	7.0	80.0	400
Смесь мучная без глютена Гарнец Основа для пиццы	Смесь мучная без глютена Гарнец Основа для пиццы	6.0	1.0	76.0	340
Смесь мучная без глютена Гарнец Серый хлеб	Смесь мучная без глютена Гарнец Серый хлеб	6.0	1.0	75.0	330
Смесь мучная без глютена Гарнец Черемуховый торт	Смесь мучная без глютена Гарнец Черемуховый торт	2.5	0.5	81.0	330
Смесь мучная без глютена Гарнец Шоколадный торт	Смесь мучная без глютена Гарнец Шоколадный торт	4.0	1.0	80.0	350
Смесь мучная без глютена Гарнец Яблочная шарлотка	Смесь мучная без глютена Гарнец Яблочная шарлотка	3.0	0.5	81.0	330
Смесь мучная Хлеб 5 злаков С.Пудовъ	Смесь мучная Хлеб 5 злаков С.Пудовъ	10.0	2.0	64.0	310
