Агар пищевой	4.0	    0.0	    76.0	301
Патока кукурузная	Патока кукурузная	0.0	0.3	78.3	316
Патэ Егорьевская ФКГ из гречки с грибами	Патэ Егорьевская ФКГ из гречки с грибами	6.0	17.0	8.0	209
Патэ Егорьевская ФКГ из фасоли	Патэ Егорьевская ФКГ из фасоли	6.5	18.0	10.5	230
Пекмез можжевеловый	Пекмез можжевеловый	0.8	0.2	57.6	259
Пекмез рожкового дерева	Пекмез рожкового дерева	3.2	0.5	59.0	263
Пекмез финиковый	Пекмез финиковый	1.1	0.5	57.0	271
Пекмез шелковицы	Пекмез шелковицы	1.0	0.5	61.0	294
Пектин	Пектин	0.0	0.0	89.6	336
Перец анчо сушеный	Перец анчо сушеный	11.9	8.2	29.8	281
Перец белый	Перец белый	10.4	2.1	42.4	296
Перец белый молотый	Перец белый молотый	10.4	2.1	42.4	296
Перец водяной (горец перечный)	Перец водяной (горец перечный)	0.1	0.1	0.1	1
Перец длинный чёрный	Перец длинный чёрный	10.9	3.2	38.3	255
Перец душистый	Перец душистый	6.1	8.7	50.5	263
Перец зелёный горошек	Перец зелёный горошек	2.0	0.2	7.9	40
Перец кайенский	Перец кайенский	0.7	0.2	9.8	43
Перец красный молотый	Перец красный молотый	0.7	0.3	4.6	21
Перец пепперони	Перец пепперони	1.4	0.6	5.9	30
Перец пири-пири	Перец пири-пири	2.0	0.2	9.5	40
Перец розовый горошек	Перец розовый горошек	0.1	0.0	0.1	10
Перец серрано	Перец серрано	1.7	0.4	3.0	32
Перец хабанеро	Перец хабанеро	2.0	0.2	9.5	40
Перец халапеньо	Перец халапеньо	1.4	0.6	5.9	30
Перец чёрный горошек	Перец чёрный горошек	14.7	3.0	41.6	252
Перец чёрный молотый	Перец чёрный молотый	10.4	3.3	38.7	251
Перец чили	Перец чили	2.0	0.2	9.5	40
Перец чили Росагропром красный молотый	Перец чили Росагропром красный молотый	13.8	14.0	50.0	282
Перец чипотле	Перец чипотле	11.9	8.2	29.8	281
Перец японский (сычуанский, китайский)	Перец японский (сычуанский, китайский)	10.4	2.1	42.4	296
