Окунь морской горячего копчения	Окунь морской горячего копчения	23.5	9.0	0.0	175
Окунь морской отварной	Окунь морской отварной	19.9	3.6	0.0	112
Окунь морской свежий	Окунь морской свежий	15.3	1.5	0.0	79
Окунь морской тушеный	Окунь морской тушеный	10.9	6.6	4.2	120
Окунь речной жареный	Окунь речной жареный	20.6	9.1	4.0	180
Окунь речной запечённый	Окунь речной запечённый	6.8	4.7	8.4	103
Окунь речной припущенный	Окунь речной припущенный	19.5	3.5	0.0	109
Окунь речной свежий	Окунь речной свежий	18.5	0.9	0.0	82
Окунь речной фаршированный	Окунь речной фаршированный	14.9	6.1	3.9	130
Окунь черный морской свежий	Окунь черный морской свежий	18.1	3.3	0.0	103
Омуль свежий	Омуль свежий	17.5	2.0		88
Осётр жареный	Осётр жареный	16.0	17.4	13.2	273
Осётр отварной	Осётр отварной	17.7	12.0		179
Осётр припущенный	Осётр припущенный	17.8	11.9	0.0	179
Осётр свежий	Осётр свежий	16.4	10.9	0.0	163
Осьминог	Осьминог	18.2	0.0	0.0	73
Осьминог консервированный	Осьминог консервированный	21.0	5.2	4.0	135
Осьминог маринованный	Осьминог маринованный	18.2	0.0	0.0	73
Осьминог мини	Осьминог мини	14.9	1.0	2.2	82
Палтус отварной	Палтус отварной	14.0	17.8	0.0	216
Палтус свежий	Палтус свежий	18.9	3.0	0.0	102
Пангасиус	Пангасиус	15.0	3.0		89
Паста Крем-Фиш Треска	Паста Крем-Фиш Треска	8.0	30.0	3.0	310
Паштет из тунца Магуро	Паштет из тунца Магуро	17.0	27.0	2.8	322
Пеламида	Пеламида	22.4	14.2	0.0	217
Пеленгас	Пеленгас	18.0	5.0	0.0	84
Пикша	Пикша	17.2	0.2	0.0	71
Плотва свежая	Плотва свежая	17.5	2.0	0.0	88
Путассу	Путассу	16.1	0.9		72
Рагу Устькамчатрыба из тихоокеанских лососёвых рыб	Рагу Устькамчатрыба из тихоокеанских лососёвых рыб	18.0	11.0	0.0	171
Раки морские вареные	Раки морские вареные	20.5	0.7	0.3	90
Раки морские свежие	Раки морские свежие	18.8	1.3	0.5	89
Раки речные вареные	Раки речные вареные	20.3	1.3	1.0	97
Раки речные свежие	Раки речные свежие	15.5	1.0	1.2	76
Рапана	Рапана	16.7	1.1	0.0	77
Риет Меридиан лососевый с каперсами и укропом	Риет Меридиан лососевый с каперсами и укропом	19.6	2.2	2.8	107
Риет Меридиан лососевый с творогом	Риет Меридиан лососевый с творогом	19.5	2.2	2.7	110
Ротан	Ротан	17.5	2.0	0.0	88
Рыба вяленая	Рыба вяленая	17.5	4.6	0.0	139
Рыба копченая	Рыба копченая	26.8	9.9	0.0	196
Рыба маринованная	Рыба маринованная	1.7	3.0	11.4	82
Рыба соленая	Рыба соленая	19.2	2.0	0.0	190
Рыба сушеная	Рыба сушеная	52.4	5.8	3.3	275
Рыба-попугай	Рыба-попугай	18.7	24.0	0.0	270
Рыба-сабля	Рыба-сабля	19.3	3.2	0.0	106
Рыбец	Рыбец	17.5	2.0	0.0	88
Рыбная строганина	Рыбная строганина	34.3	3.9	0.5	172
Рыбное филе	Рыбное филе	15.2	3.5	0.0	91
Рыбные бургеры	Рыбные бургеры	12.0	0.8	19.0	131
Рыбные консервы	Рыбные консервы	17.5	2.0	0.0	88
Рыбные палочки замороженные	Рыбные палочки замороженные	9.5	8.7	22.4	206
Рыбные полуфабрикаты	12.5	6.7	14.7	209
Рыбный балык	Рыбный балык	20.4	12.5	0.0	194
Рыбный рулет	Рыбный рулет	11.8	7.5	9.7	139
Рыбный стейк	Рыбный стейк	12.8	6.0	12.0	155
Рыбный фарш	Рыбный фарш	16.0	0.6	0.0	69
Ряпушка	Ряпушка	17.5	2.0	0.0	88
Сазан азовский	Сазан азовский	18.4	5.3		121
Сазан каспийский	Сазан каспийский	18.2	2.7		97
Сайда	Сайда	19.4	0.9	0.0	92
Сайра бланшированная в масле	Сайра бланшированная в масле	18.3	23.3		283
Сайра консервированная	Сайра консервированная	17.5	2.0	0.0	88
Сайра Рыбный остров тихоокеанская натуральная с добавлением масла	Сайра Рыбный остров тихоокеанская натуральная с добавлением масла	18.0	23.0	0.0	279
Сайра свежая	Сайра свежая	18.6	12.0		182
Салака копчёная	Салака копчёная	25.4	5.6		152
Сарган черноморский	Сарган черноморский	16.5	5.3	0.0	100
Сардина атлантическая с добавлением масла	Сардина атлантическая с добавлением масла	19.0	18.0		238
Сардина в масле	Сардина в масле	24.1	13.9		221
Сардина в томатном соусе	Сардина в томатном соусе	17.0	9.9	1.4	162
Сардина отварная	Сардина отварная	20.1	10.8		178
Сардина свежая	Сардина свежая	20.6	9.6		169
Севрюга в томатном соусе	Севрюга в томатном соусе	16.1	11.5	2.8	179
Севрюга свежая	Севрюга свежая	17.0	11.8		160
Сельдь атлантическая Балтийский Берег По-царски с укропом в масле	Сельдь атлантическая Балтийский Берег По-царски с укропом в масле	9.0	52.0	0.0	500
Сельдь атлантическая Меридиан Scandi Sill в горчичном соусе	Сельдь атлантическая Меридиан Scandi Sill в горчичном соусе	10.0	17.0	4.0	210
Сельдь в растительном масле	Сельдь в растительном масле	16.4	26.5		301
Сельдь в сметане	Сельдь в сметане	5.5	6.2	5.3	97
Сельдь в томатном соусе	Сельдь в томатном соусе	13.8	9.7	4.6	159
Сельдь горячего копчения	Сельдь горячего копчения	21.8	14.3		215
Сельдь консервированная	Сельдь консервированная	17.5	2.0	0.0	88
Сельдь маринованная	Сельдь маринованная	16.5	12.6	3.4	192
Сельдь свежая	Сельдь свежая	16.3	10.7		161
Сельдь соленая	Сельдь соленая	19.8	15.4	0.0	217
Сёмга (брюшки)	Сёмга (брюшки)	25.0	24.0	0.0	310
Сёмга (хребты)	Сёмга (хребты)	20.0	8.1	0.0	153
Сёмга копченая	Сёмга копченая	22.5	12.5	0.0	202
Сёмга на гриле	Сёмга на гриле	21.8	14.1		230
Сёмга на пару	Сёмга на пару	19.3	14.0		197
Сёмга отварная	Сёмга отварная	22.5	12.5		189
Сёмга свежая	Сёмга свежая	21.6	6.0		140
Сёмга слабосоленая Русское море филе-кусок	Сёмга слабосоленая Русское море филе-кусок	22.0	12.0		195
Сибас	Сибас	18.0	3.0		99
Сиг	Сиг	19.0	7.5		144
Скат	Скат	24.0	1.6	0.0	110
Скат (крылья)	Скат (крылья)	24.0	1.6	0.0	111
Скумбрия в масле	Скумбрия в масле	13.1	25.1		278
Скумбрия горячего копчения	Скумбрия горячего копчения	22.1	23.8	4.1	317
Скумбрия консервированная	Скумбрия консервированная	14.4	28.9	0.0	317
Скумбрия копченая	Скумбрия копченая	20.7	15.5	0.0	221
Скумбрия маринованная	Скумбрия маринованная	12.8	8.3	3.7	142
Скумбрия на пару	Скумбрия на пару	18.0	13.2		191
Скумбрия отварная	Скумбрия отварная	19.6	14.7		211
Скумбрия свежая	Скумбрия свежая	18.0	13.2	0.0	191
Скумбрия соленая	Скумбрия соленая	18.0	13.1	0.0	194
Солнечник	Солнечник	18.9	2.2	0.0	95
Сом маринованный	Сом маринованный	11.4	7.4	0.2	116
Сом отварной	Сом отварной	18.4	13.6		196
Сом припущенный	Сом припущенный	18.2	5.4		121
Сом свежий	Сом свежий	16.8	8.5		143
Ставрида в масле	Ставрида в масле	15.6	27.4		309
Ставрида в томатном соусе	Ставрида в томатном соусе	14.8	2.3	7.3	110
Ставрида жареная	Ставрида жареная	20.3	10.5	3.7	190
Ставрида отварная	Ставрида отварная	20.6	5.6		133
Ставрида припущенная	Ставрида припущенная	19.6	4.8		122
Ставрида свежая	Ставрида свежая	19.0	5.0		119
Ставрида холодного копчения	Ставрида холодного копчения	17.1	2.8		94
Стерлядь копченая	Стерлядь копченая	17.5	2.0	0.0	88
Стерлядь свежая	Стерлядь свежая	17.0	6.1		122
Судак отварной	Судак отварной	21.3	1.3		97
Судак припущенный	Судак припущенный	19.6	1.2		89
Судак свежий	Судак свежий	19.2	0.7		84
Судак фаршированный	Судак фаршированный	13.7	6.0	8.7	144
Сурими	Сурими	15.2	0.9	6.8	99
Таймень	Таймень	17.5	2.0	0.0	88
Талисман	Талисман	15.7	3.0		90
Тарань	Тарань	17.5	2.0	0.0	88
Терпуг	Терпуг	17.8	3.4		102
Терпуг зубатый	Терпуг зубатый	17.6	9.5		85
Тиляпия	Тиляпия	20.1	1.7	0.0	96
