Сыворотка творожная	0.8	0.2	3.5	20
Сыр Эдам	Сыр Эдам	24.0	26.0	0.0	330
Сыр Эдам копчёный	Сыр Эдам копчёный	24.8	25.0	0.0	334
Сыр Эмменталь	Сыр Эмменталь	28.8	29.7	0.1	380
Сыр Эстонский	Сыр Эстонский	26.0	26.5	3.5	356
Сыр Янтарный плавленый	Сыр Янтарный плавленый	7.0	27.3	4.0	289
Сыр Ярлсберг	Сыр Ярлсберг	28.0	28.0	0.0	364
Сыр Ярлсберг Лайт	Сыр Ярлсберг Лайт	31.0	16.0	0.0	268
Сыр Ярославский	Сыр Ярославский	26.2	26.6	0.0	350
Сырник творожный	Сырник творожный	18.6	3.6	18.2	183
Сырный продукт Hochland Фетакса плавленый	Сырный продукт Hochland Фетакса плавленый	8.0	25.0	1.0	261
Сырный продукт Парижская буренка	Сырный продукт Парижская буренка	7.2	22.0	2.0	232
Сырный продукт Просто-Постно со вкусом сыра с прованскими травами и чесноком	Сырный продукт Просто-Постно со вкусом сыра с прованскими травами и чесноком	0.0	20.2	23.8	227
Сырный продукт Сыробогатов Фиетта классическая	Сырный продукт Сыробогатов Фиетта классическая	10.2	22.9	2.3	256
Сырок Б.Ю. Александров 5% в тёмном шоколаде	Сырок Б.Ю. Александров 5% в тёмном шоколаде	13.5	12.9	29.0	286
Сырок Б.Ю. Александров в молочном шоколаде	Сырок Б.Ю. Александров в молочном шоколаде	8.4	28.2	30.7	410
Сырок Б.Ю. Александров в тёмном шоколаде	Сырок Б.Ю. Александров в тёмном шоколаде	8.6	30.8	27.0	419
Сырок Б.Ю. Александров с ванилью	Сырок Б.Ю. Александров с ванилью	2.8	6.5	10.5	242
Сырок глазированный	Сырок глазированный	8.5	27.8	32.0	407
Сырок глазированный Картошка	Сырок глазированный Картошка	7.0	23.4	47.6	417
Сырок глазированный с начинкой	Сырок глазированный с начинкой	9.5	21.3	36.0	374
Сырок творожный Первый Вкус с изюмом 15%	Сырок творожный Первый Вкус с изюмом 15%	11.5	15.0	15.0	241
Сырок творожный Свитлогорье в карамельной глазури с ванилином	Сырок творожный Свитлогорье в карамельной глазури с ванилином	8.5	25.3	31.4	387
Сырок творожный Фанни ванильный	Сырок творожный Фанни ванильный	10.0	20.0	12.0	268
Творог 0% (обезжиренный)	Творог 0% (обезжиренный)	16.5	0.0	1.3	71
Творог 0.1%	Творог 0.1%	16.7	0.1	2.0	76
Творог 0.2%	Творог 0.2%	18.0	0.2	1.8	81
Творог 0.3%	Творог 0.3%	18.0	0.3	3.3	90
Творог 0.6% (маложирный)	Творог 0.6% (маложирный)	18.0	0.6	1.8	88
Творог 1%	Творог 1%	16.3	1.0	1.3	79
Творог 1.8% (нежирный)	Творог 1.8% (нежирный)	18.0	1.8	3.3	101
Творог 11%	Творог 11%	16.0	11.0	1.0	170
Творог 18% (жирный)	Творог 18% (жирный)	14.0	18.0	2.8	232
Творог 2%	Творог 2%	18.0	2.0	3.3	103
Творог 4%	Творог 4%	15.7	4.0	1.4	104
Творог 5%	Творог 5%	17.2	5.0	1.8	121
Творог 8%	Творог 8%	15.0	8.0	1.5	138
Творог 9% (полужирный)	Творог 9% (полужирный)	16.7	9.0	2.0	159
Творог Arla Keso зернистый	Творог Arla Keso зернистый	11.0	1.5	2.5	70
Творог Danone 0% мягкий	Творог Danone 0% мягкий	10.9	0.1	4.0	61
Творог Danone 5% мягкий	Творог Danone 5% мягкий	8.8	5.0	4.2	97
Творог Lactica 0% мягкий обезжиренный	Творог Lactica 0% мягкий обезжиренный	8.0	0.3	2.6	45
Творог Lactica 4.5% мягкий	Творог Lactica 4.5% мягкий	7.0	4.5	2.5	79
Творог President 9% Рассыпчатый	Творог President 9% Рассыпчатый	9.0	16.0	2.0	153
Творог Valio 0.1% с мюсли и сушеными ягодами	Творог Valio 0.1% с мюсли и сушеными ягодами	8.7	0.1	12.3	85
Творог Valio 0.3%	Творог Valio 0.3%	11.0	0.3	4.2	65
Творог АИСФеР Правильный 9% рассыпчатый	Творог АИСФеР Правильный 9% рассыпчатый	16.0	9.0	3.0	157
Творог альбуминовый	Творог альбуминовый	11.0	0.0	2.0	52
Творог Б.Ю. Александров Клубника 4.2%	Творог Б.Ю. Александров Клубника 4.2%	7.2	4.2	9.1	103
Творог Б.Ю. Александров Персик-груша 4.2%	Творог Б.Ю. Александров Персик-груша 4.2%	7.2	4.2	9.1	103
Творог Б.Ю. Александров с шоколадной крошкой 4.2%	Творог Б.Ю. Александров с шоколадной крошкой 4.2%	6.9	7.2	9.8	132
Творог Белый медведь 5%	Творог Белый медведь 5%	16.0	5.0	3.0	145
