Ангурия (Антильский огурец)	1.8	1.3	7.6	44
Перец ратунда	Перец ратунда	1.3	0.1	4.9	26
Перец сладкий 4 сезона нарезанный	Перец сладкий 4 сезона нарезанный	1.3	0.1	5.4	27
Перец сладкий жёлтый	Перец сладкий жёлтый	1.3	0.0	5.3	27
Перец сладкий замороженный	Перец сладкий замороженный	1.3	0.0	5.7	27
Перец сладкий зелёный	Перец сладкий зелёный	1.3	0.0	6.9	33
Перец сладкий красный	Перец сладкий красный	1.3	0.0	5.3	27
Перец сладкий маринованный	Перец сладкий маринованный	1.3	0.1	4.9	25
Перилла	Перилла	0.0	0.0	0.0	
Петрушка	Петрушка	3.7	0.4	7.6	47
Петрушка (корень)	Петрушка (корень)	1.5	0.6	10.1	49
Подорожник	Подорожник	0.4	0.1	7.0	26
Полынь	Полынь	1.5	0.0	5.0	25
Портулак	Портулак	1.3	0.1	3.4	17
Проростки Русский Спраут Испанский горох (нут)	Проростки Русский Спраут Испанский горох (нут)	7.0	1.0	20.0	110
Расторопша пятнистая сухая	Расторопша пятнистая сухая	24.0	10.0	52.5	396
Ревень	Ревень	0.7	0.1	2.5	13
Редис	Редис	1.2	0.1	3.4	19
Редька белая	Редька белая	1.4	0.0	4.1	21
Редька зелёная	Редька зелёная	2.0	0.2	6.5	32
Редька красная	Редька красная	1.2	0.1	3.4	20
Редька маргеланская (китайская)	Редька маргеланская (китайская)	1.2	0.0	4.1	21
Редька чёрная	Редька чёрная	1.9	0.2	6.7	35
Репа	Репа	1.5	0.1	6.2	30
Ростки фасоли Бондюэль Мунго	Ростки фасоли Бондюэль Мунго	1.5	0.1	1.8	14
Руккола	Руккола	2.6	0.7	2.1	25
Салат	Салат	1.2	0.3	1.3	12
Салат Айсберг	Салат Айсберг	0.9	0.1	1.8	14
Салат Афицион	Салат Афицион	1.5	0.2	2.2	14
Салат Батавия	Салат Батавия	1.5	0.2	2.0	16
Салат из микрозелени Дабл Боб Botanica Farm	Салат из микрозелени Дабл Боб Botanica Farm	2.8	10.1	3.6	113
