Напиток Липтон Айс-Ти Лимон McDonalds 400 мл	Напиток Липтон Айс-Ти Лимон McDonalds 400 мл	0.0	0.0	27.0	110
Напиток Спрайт McDonalds 400 мл	Напиток Спрайт McDonalds 400 мл	0.4	0.0	41.0	165
Напиток Фанта McDonalds 400 мл	Напиток Фанта McDonalds 400 мл	0.4	0.0	46.0	185
Напиток Чай чёрный/зелёный McDonalds	Напиток Чай чёрный/зелёный McDonalds	0.0	0.0	0.0	
Салат Овощной McDonalds	Салат Овощной McDonalds	2.0	3.0	5.0	60
Салат Цезарь McDonalds	Салат Цезарь McDonalds	15.0	10.0	9.0	190
Соус барбекю McDonalds	Соус барбекю McDonalds	0.2	0.3	11.0	48
Соус карри McDonalds	Соус карри McDonalds	0.0	0.0	12.0	50
Соус кетчуп McDonalds	Соус кетчуп McDonalds	0.0	0.3	6.6	27
Соус кисло-сладкий McDonalds	Соус кисло-сладкий McDonalds	0.1	0.3	12.0	49
Соус сырный McDonalds	Соус сырный McDonalds	0.6	9.0	1.4	89
Сэндвич Биг Брекфаст Ролл	Сэндвич Биг Брекфаст Ролл	27.0	36.0	54.0	655
Сэндвич Биг Мак	Сэндвич Биг Мак	27.0	26.0	41.0	510
Сэндвич Биг Тейсти	Сэндвич Биг Тейсти	44.0	52.0	50.0	850
Сэндвич Биф а-ля Рус	Сэндвич Биф а-ля Рус	29.0	31.0	44.0	580
Сэндвич Биф Ролл	Сэндвич Биф Ролл	20.0	29.0	43.0	520
Сэндвич Гамбургер	Сэндвич Гамбургер	13.0	9.0	30.0	255
Сэндвич Двойной Чизбургер	Сэндвич Двойной Чизбургер	27.0	24.0	31.0	450
Сэндвич Макчикен	Сэндвич Макчикен	20.0	19.0	44.0	435
Сэндвич Роял Де Люкс	Сэндвич Роял Де Люкс	30.0	29.0	42.0	555
Сэндвич Роял Чизбургер	Сэндвич Роял Чизбургер	32.0	28.0	36.0	530
Сэндвич Филе-о-фиш	Сэндвич Филе-о-фиш	14.0	13.0	36.0	320
Сэндвич Фиш Ролл	Сэндвич Фиш Ролл	17.0	23.0	49.0	475
Сэндвич Фреш Ролл	Сэндвич Фреш Ролл	25.0	38.0	40.0	610
Сэндвич Цезарь Ролл	Сэндвич Цезарь Ролл	22.0	24.0	50.0	510
Сэндвич Чизбургер	Сэндвич Чизбургер	16.0	13.0	30.0	305
Сэндвич Чикен Бекон	Сэндвич Чикен Бекон	27.0	36.0	60.0	680
Чикен Мифик	Сэндвич Чикен Мифик	29.0	35.0	48.0	625
Сэндвич Чикен Эмменталь	Сэндвич Чикен Эмменталь	29.0	35.0	48.0	625
Сэндвич Чикенбургер	12.0	16.0	41.0	360
Чикен Макнаггетс McDonalds	Чикен Макнаггетс McDonalds	2.8	2.3	3.2	45
Яблочные дольки McDonalds	Яблочные дольки McDonalds	0.0	0.0	8.0	38
Бутанику кадзукири	3.2	5.1	24.2	156
Бутанику рёри	Бутанику рёри	16.6	22.2	3.4	280
Васаби игай-яки	Васаби игай-яки	4.5	8.0	11.5	136
Васаби Сэн Сой Премиум	Васаби Сэн Сой Премиум	0.0	9.0	40.0	241
