Амарант	13.6	7.0	69.0	371
Овсяные хлопья Геркулес Русский продукт Монастырский	Овсяные хлопья Геркулес Русский продукт Монастырский	12.0	6.0	62.0	350
Овсяные хлопья Геркулес Фитнес с отрубями	Овсяные хлопья Геркулес Фитнес с отрубями	12.3	6.3	61.2	351
Овсяные хлопья Геркулес Царь	Овсяные хлопья Геркулес Царь	12.0	6.0	62.0	350
Овсяные хлопья Лента Средний размер	Овсяные хлопья Лента Средний размер	12.0	6.0	51.0	306
Овсяные хлопья Пассим	Овсяные хлопья Пассим	10.0	6.0	68.0	377
Овсяные хлопья РБК ГОСТ 21149-93	Овсяные хлопья РБК ГОСТ 21149-93	13.6	6.7	68.9	388
Овсяные хлопья Увелка тонкие	Овсяные хлопья Увелка тонкие	11.0	6.2	50.2	305
Овсяные хлопья Увелка традиционные	Овсяные хлопья Увелка традиционные	12.0	6.0	72.0	390
Овсяные хлопья Ясно Солнышко с овсяными отрубями	Овсяные хлопья Ясно Солнышко с овсяными отрубями	11.0	7.0	48.0	340
Овсяные хлопья Ясно Солнышко №1	Овсяные хлопья Ясно Солнышко №1	12.0	6.0	51.0	310
Овсяные хлопья Ясно Солнышко №2	Овсяные хлопья Ясно Солнышко №2	12.0	6.0	51.0	310
Овсяные хлопья №2 Агро-Альянс	Овсяные хлопья №2 Агро-Альянс	12.0	5.0	70.0	390
Отруби сибирские ВкусВилл Сила гречихи	Отруби сибирские ВкусВилл Сила гречихи	14.9	3.9	62.5	367
Отруби сибирские Сила фруктов, хрустящие шарики	Отруби сибирские Сила фруктов, хрустящие шарики	12.0	2.5	40.0	230
Перловая каша на воде	Перловая каша на воде	3.1	0.4	22.2	109
Перловая каша рассыпчатая	3.1	0.4	23.0	106
Перловая крупа	Перловая крупа	9.3	1.1	73.7	320
Перловая крупа Makfa	Перловая крупа Makfa	9.3	1.1	66.9	315
Перловая крупа Makfa в пакетиках	Перловая крупа Makfa в пакетиках	9.3	1.1	66.9	315
Перловая крупа Мистраль Барли	Перловая крупа Мистраль Барли	12.1	0.8	73.4	349
Плов Готово! с грибами	Плов Готово! с грибами	7.0	1.0	65.0	300
Полба	Полба	14.7	2.2	61.2	337
Полба Увелка в пакетиках для варки	Полба Увелка в пакетиках для варки	15.0	2.0	73.0	370
Полбяная каша на воде	Полбяная каша на воде	5.5	0.9	26.5	127
Пшеница воздушная На Здоровье! со вкусом шоколада	Пшеница воздушная На Здоровье! со вкусом шоколада	9.9	4.6	79.6	399
Пшеница пророщенная	Пшеница пророщенная	7.5	1.3	41.4	198
Пшеничная каша Myllyn Paras	Пшеничная каша Myllyn Paras	13.0	2.0	62.5	325
Пшеничная крупа	Пшеничная крупа	11.5	1.3	62.0	316
Пшеничная крупа Makfa Артек	Пшеничная крупа Makfa Артек	11.0	1.2	68.5	329
Пшеничная крупа Makfa Полтавская в пакетиках	Пшеничная крупа Makfa Полтавская в пакетиках	11.5	1.3	67.9	329
Пшеничная крупа Агро-Альянс	Пшеничная крупа Агро-Альянс	13.0	1.0	71.0	340
Пшеничная крупа Мистраль кускус	Пшеничная крупа Мистраль кускус	12.0	2.0	72.0	350
Пшеничные зерна мягких сортов	Пшеничные зерна мягких сортов	11.8	2.2	59.5	305
Пшеничные зерна твёрдых сортов	Пшеничные зерна твёрдых сортов	13.0	2.5	57.5	304
Пшеничные отруби	Пшеничные отруби	14.7	4.1	20.6	180
Пшеничные отруби Ого!	Пшеничные отруби Ого!	13.8	2.8	61.4	326
Пшеничные хлопья	Пшеничные хлопья	16.0	1.0	70.0	336
Пшеничные хлопья Nordic	Пшеничные хлопья Nordic	11.0	2.6	61.0	340
Пшённая каша Myllyn Paras	Пшённая каша Myllyn Paras	11.2	3.9	55.3	305
Пшенная каша вязкая на воде	Пшенная каша вязкая на воде	3.0	0.7	17.0	90
Пшенная каша рассыпчатая	Пшенная каша рассыпчатая	4.7	1.1	26.1	135
Пшенная крупа	Пшенная крупа	11.5	3.3	69.3	348
Пшенная крупа Мистраль шлифованная	Пшенная крупа Мистраль шлифованная	11.5	3.3	66.5	342
Пшенно-гречневые хлопья Алтайская сказка	Пшенно-гречневые хлопья Алтайская сказка	12.5	3.2	66.9	347
Пшенно-рисовые хлопья Агро-Альянс	Пшенно-рисовые хлопья Агро-Альянс	10.0	4.0	73.0	370
Пшенные хлопья Nordic	Пшенные хлопья Nordic	12.0	2.9	69.3	334
Пшено элитное Агро-Альянс	Пшено элитное Агро-Альянс	12.0	3.0	69.0	350
Ржаные отруби	Ржаные отруби	11.2	3.2	32.0	221
Ржаные отруби Диадар Бородинские хрустящие	Ржаные отруби Диадар Бородинские хрустящие	13.2	3.2	27.0	190
Ржаные отруби Ого!	Ржаные отруби Ого!	13.0	2.0	40.0	274
Ржаные хлопья	Ржаные хлопья	6.4	3.2	82.6	343
Ржаные хлопья Myllyn Paras	Ржаные хлопья Myllyn Paras	9.7	2.0	61.3	305
Ризотто Yelli с белыми грибами	Ризотто Yelli с белыми грибами	8.0	1.5	74.0	340
Ризотто Yelli с томатами и базиликом	Ризотто Yelli с томатами и базиликом	7.0	1.0	77.0	350
Рис 4 сезона для жарки	Рис 4 сезона для жарки	2.0	0.5	22.0	110
Рис Bravolli Карнароли для ризотто	Рис Bravolli Карнароли для ризотто	7.0	1.0	80.0	360
Рис Bravolli Четыре риса	Рис Bravolli Четыре риса	11.0	0.5	72.0	340
Рис Makfa длиннозерный	Рис Makfa длиннозерный	7.0	1.0	74.0	333
Рис Makfa длиннозерный в пакетиках	Рис Makfa длиннозерный в пакетиках	7.0	1.0	74.0	333
Рис Makfa длиннозерный пропаренный	Рис Makfa длиннозерный пропаренный	7.0	1.0	74.0	333
Рис Makfa длиннозерный пропаренный в пакетиках	Рис Makfa длиннозерный пропаренный в пакетиках	7.0	1.0	74.0	333
Рис Makfa круглозерный	Рис Makfa круглозерный	7.0	1.0	74.0	333
Рис Makfa круглозерный в пакетиках	Рис Makfa круглозерный в пакетиках	7.0	1.0	74.0	333
Рис Yelli Басмати с овощами Бириани	Рис Yelli Басмати с овощами Бириани	7.0	1.0	77.0	350
Рис Агро-Альянс бурый Slim&Fit	Рис Агро-Альянс бурый Slim&Fit	7.5	2.0	77.0	380
Рис Агро-Альянс для плова	Рис Агро-Альянс для плова	6.5	9.0	79.0	420
Рис Агро-Альянс для ризотто Арборио	Рис Агро-Альянс для ризотто Арборио	6.5	1.0	75.0	340
Рис Агро-Альянс для суши и японской кухни	Рис Агро-Альянс для суши и японской кухни	8.0	0.4	77.0	340
Рис Агро-Альянс Жасмин	Рис Агро-Альянс Жасмин	7.5	0.2	76.0	340
Рис Агро-Альянс красный Рубин	Рис Агро-Альянс красный Рубин	7.5	2.0	69.0	340
Рис Агро-Альянс кубанский Элитный	Рис Агро-Альянс кубанский Элитный	6.5	0.5	75.0	330
Рис Агро-Альянс пропаренный Gold	Рис Агро-Альянс пропаренный Gold	6.5	1.0	79.0	350
Рис Агро-Альянс Смесь золотистого и дикого	Рис Агро-Альянс Смесь золотистого и дикого	8.0	1.0	76.0	340
Рис Агро-Альянс Супер Басмати	Рис Агро-Альянс Супер Басмати	9.5	0.2	75.0	340
Рис Агро-Альянс черный Южная ночь	Рис Агро-Альянс черный Южная ночь	6.5	2.5	52.0	260
Рис Арборио	Рис Арборио	6.5	0.7	75.4	330
Рис белый	Рис белый	6.7	0.7	78.9	344
Рис белый вареный	Рис белый вареный	2.2	0.5	24.9	116
Рис бурый	Рис бурый	7.4	1.8	72.9	337
Рис Дикий + Парбоилд Worlds Rice	Рис Дикий + Парбоилд Worlds Rice	13.7	1.0	74.2	358
Рис дикий вареный	Рис дикий вареный	4.0	0.3	21.1	100
Рис дикий чёрный	Рис дикий чёрный	4.1	0.4	21.0	101
Рис длиннозерный	Рис длиннозерный	7.1	0.7	78.0	365
Рис для суши	Рис для суши	7.0	0.6	75.2	342
Рис Жменька Арборио	Рис Жменька Арборио	6.7	1.5	78.5	354
Рис Жменька длиннозернистый	Рис Жменька длиннозернистый	7.0	1.0	71.4	330
Рис Жменька Жасмин	Рис Жменька Жасмин	6.9	0.2	73.4	331
Рис Жменька круглозернистый	Рис Жменька круглозернистый	7.0	1.0	71.4	330
Рис Жменька нешлифованный	Рис Жменька нешлифованный	8.0	3.9	52.0	285
Рис Жменька Отборный	Рис Жменька Отборный	7.0	1.0	71.4	330
Рис Жменька пропаренный	Рис Жменька пропаренный	7.3	0.2	75.4	341
Рис Жменька пропаренный Gold	Рис Жменька пропаренный Gold	7.3	0.2	75.4	341
Рис Жменька Супер Басмати	Рис Жменька Супер Басмати	7.1	0.2	71.2	322
Рис Жменька Суши	Рис Жменька Суши	7.2	0.3	79.0	347
Рис золотистый	Рис золотистый	8.1	0.4	78.0	349
Рис Карнароли	7.5	2.6	62.5	303
Рис коричневый	Рис коричневый	6.3	4.4	65.1	331
Рис коричневый вареный	Рис коричневый вареный	2.6	0.9	22.8	110
Рис красный нешлифованный	Рис красный нешлифованный	10.5	2.5	70.5	362
Рис круглозерный шлифованный	Рис круглозерный шлифованный	0.1	0.4	79.0	350
Рис Мистраль Акватика Color Mix	Рис Мистраль Акватика Color Mix	8.8	2.3	72.8	356
Рис Мистраль Акватика Дикий	Рис Мистраль Акватика Дикий	14.0	0.5	72.0	357
Рис Мистраль круглозерный	Рис Мистраль круглозерный	0.1	0.4	79.5	355
Рис Мистраль пропаренный	Рис Мистраль пропаренный	7.1	0.7	79.3	361
Рис Мистраль Самарканд красный круглозерный	Рис Мистраль Самарканд красный круглозерный	8.0	0.5	75.8	320
Рис Националь Здоровье	Рис Националь Здоровье	7.5	2.0	73.0	340
Рис Националь Ризотто	Рис Националь Ризотто	6.5	0.5	83.0	360
Рис Националь Феникс	Рис Националь Феникс	7.0	2.0	75.0	350
Рис нешлифованный вареный	Рис нешлифованный вареный	2.7	0.7	36.0	125
Рис Нишики	Рис Нишики	7.0	2.0	56.0	277
Рис Пассим круглозёрный Приморский	Рис Пассим круглозёрный Приморский	7.0	1.0	74.0	333
Рис полированный	Рис полированный	7.0	1.0	71.4	330
Рис пропаренный вареный	Рис пропаренный вареный	2.1	0.1	21.4	97
Рис рассыпчатый	Рис рассыпчатый	2.4	0.2	24.9	113
Рис Увелка круглозерный	Рис Увелка круглозерный	7.0	1.0	71.1	330
Рис Увелка круглозерный шлифованный	Рис Увелка круглозерный шлифованный	8.0	1.0	76.0	340
Рис Фушигон	Рис Фушигон	7.0	0.6	77.3	340
Рисовая каша на воде	Рисовая каша на воде	1.5	0.1	17.4	78
Рисовая каша на молоке	Рисовая каша на молоке	2.5	3.1	16.0	97
Рисовая манка Гарнец безглютеновая	Рисовая манка Гарнец безглютеновая	7.0	0.5	78.0	340
Рисовые отруби	Рисовые отруби	13.4	20.9	28.9	316
Рисовые хлопья	Рисовые хлопья	7.0	2.0	77.0	360
Рисовые хлопья Myllyn Paras	Рисовые хлопья Myllyn Paras	7.0	1.0	77.0	360
Рисовые хлопья Myllyn Paras для каши	Рисовые хлопья Myllyn Paras для каши	7.0	1.0	77.0	360
Рожь (зерна)	Рожь (зерна)	9.9	2.2	55.8	283
Саго	Саго	1.0	0.7	85.0	350
Смесь 5 видов отрубей Верное средство	Смесь 5 видов отрубей Верное средство	15.0	4.5	15.0	150
Смесь бобовых Мистраль	Смесь бобовых Мистраль	22.6	1.6	48.5	299
Смесь из 3-х видов отрубей Myllyn Paras	Смесь из 3-х видов отрубей Myllyn Paras	16.6	6.1	34.1	255
Смесь пропаренного и дикого риса Увелка	Смесь пропаренного и дикого риса Увелка	7.0	1.0	78.0	350
Смесь чечевицы Мистраль для супов и гарниров	Смесь чечевицы Мистраль для супов и гарниров	24.5	1.2	54.6	327
Сорго зерновое	Сорго зерновое	11.8	3.3	66.4	323
Талкан пшеничный	Талкан пшеничный	11.5	1.3	64.0	324
Талкан-шифа 4 злака	Талкан-шифа 4 злака	10.6	2.7	60.5	309
Теф	Теф	13.3	2.4	73.1	367
Толокно	Толокно	12.5	6.0	64.9	363
Толокно гречневое Ваше здоровье из томленого зерна	Толокно гречневое Ваше здоровье из томленого зерна	12.6	3.3	57.1	308
Толокно кукурузное Ваше здоровье из томленого зерна	Толокно кукурузное Ваше здоровье из томленого зерна	8.3	1.2	71.0	328
Толокно овсяное Ваше здоровье	Толокно овсяное Ваше здоровье	11.5	6.0	52.1	306
Толокно овсяное Гарнец	Толокно овсяное Гарнец	12.2	5.8	68.3	357
Тритикале	Тритикале	12.8	2.1	54.5	274
Фасоль Агро-Альянс Black Eye (Черный глаз)	Фасоль Агро-Альянс Black Eye (Черный глаз)	23.0	1.0	60.0	340
Фасоль Агро-Альянс белая	Фасоль Агро-Альянс белая	21.0	2.0	62.0	350
Фасоль Агро-Альянс красная Red Kidney	Фасоль Агро-Альянс красная Red Kidney	21.0	2.0	62.0	350
Фасоль Мистраль Микс	Фасоль Мистраль Микс	22.0	1.7	63.3	327
Фасоль Увелка пурпурная Кидни	Фасоль Увелка пурпурная Кидни	21.0	2.0	47.0	290
Хлопья 4-х зерновые Myllyn Paras	Хлопья 4-х зерновые Myllyn Paras	11.4	2.8	51.1	320
Хлопья Makfa 4 злака	Хлопья Makfa 4 злака	10.0	2.0	77.0	360
Хлопья Makfa 5 злаков	Хлопья Makfa 5 злаков	11.0	3.0	75.0	370
Хлопья Nestle Fitness из цельной пшеницы	Хлопья Nestle Fitness из цельной пшеницы	8.3	2.0	76.4	357
Хлопья Nestle Fitness с тёмным шоколадом	Хлопья Nestle Fitness с тёмным шоколадом	8.0	6.7	72.9	384
